clause,risk,source,policy_type,coverage_amount,applicant_age,prior_claims_count,deductible_amount,state
Benefits may be granted depending on circumstances and company judgment. based on available documentation.,High,original_synthetic,home,363869,63,1,500,IL
The insurer shall compensate the insured subject to verification of eligibility criteria. after internal evaluation.,Low,original_synthetic,auto,35313,49,0,1000,OH
"by way of example , and not as a limitation , you agree that when using the services and content , you will not :",Low,unfair_tos,auto,69999,30,0,500,NY
The insurer shall generally compensate valid claims unless exclusions apply under the contract. depending on circumstances.,Low,original_synthetic,home,253127,52,0,5000,TX
"if you are using the services on behalf of any entity , you represent and warrant that you are authorised to accept these terms on such entity 's behalf and that such entity agrees to be responsible to us if you or that entity violate these terms .",Low,unfair_tos,life,406053,61,0,2500,IL
The insurer will normally reimburse medical expenses that fall within the coverage limits. subject to review.,Low,original_synthetic,auto,60236,56,2,2500,CA
"Benefits may be payable for covered incidents provided the claim meets all policy requirements. subject to policy limitations, if coverage criteria are met per internal guidelines.",Medium,hedged_synthetic,home,357703,57,1,500,PA
"if ( a ) you willfully fail to comply with the notice of dispute requirement discussed above , or ( b ) in the event the arbitrator determines the claim ( s ) you assert in the arbitration to be frivolous , you agree to reimburse ebay for all fees associated with the arbitration paid by ebay on your behalf that you otherwise would be obligated to pay under the aaa 's rules .",Low,unfair_tos,commercial,1039317,27,0,2500,NY
"by accessing or using the instagram website , the instagram service , or any applications ( including mobile applications ) made available by instagram ( together , the `` service '' ) , however accessed , you agree to be bound by these terms of use ( `` terms of use '' ) .",Medium,unfair_tos,home,471173,24,0,2500,GA
"at the end of such trials , we may automatically start to charge you for the applicable paid subscription on the first day following the end of the trial , on a recurring monthly basis .",Low,unfair_tos,home,286534,39,0,500,OH
The insurer may compensate the insured depending on internal review and surrounding circumstances. subject to review.,High,original_synthetic,auto,126988,68,2,5000,GA
"Compensation may be granted for eligible claims once documentation is verified under the policy terms, if coverage criteria are met per internal guidelines.",Medium,hedged_synthetic,commercial,3092352,57,0,2500,NY
The insurer shall compensate the insured subject to verification of eligibility criteria. if conditions are satisfied.,Low,original_synthetic,commercial,1178537,58,0,5000,GA
"separate and apart from user content , you may submit questions , comments , suggestions , ideas , plans , notes , drawings , original or creative materials or other information about oculus and our services ( collectively , `` feedback '' ) .",Low,unfair_tos,auto,37153,33,0,500,IL
"with respect to content other than photos , graphics , audio or video you submit or make available for inclusion on publicly accessible areas of the yahoo services other than yahoo groups , the perpetual , irrevocable and fully sublicensable license to use , distribute , reproduce , modify , adapt , publish , translate , publicly perform and publicly display such content ( in whole or in part ) and to incorporate such content into other works in any format or medium now known or later developed .",Low,unfair_tos,life,1244156,37,0,2500,TX
"vivino , and its directors , employees , agents , representatives , suppliers , partners and content providers do not warrant that : ( a ) the service will be secure or available at any particular time or location ; ( b ) any defects or errors will be corrected ; ( c ) any content or software available at or through the service is free of viruses or other harmful components ; or ( d ) the results of using the service will meet your requirements .",Low,unfair_tos,auto,42897,69,0,1000,FL
we may report any such breach to the relevant law enforcement authorities and we may cooperate with those authorities by disclosing your identity to them .,Low,unfair_tos,auto,71957,40,0,5000,TX
The insurer will normally reimburse medical expenses that fall within the coverage limits. based on available documentation.,Low,original_synthetic,home,217296,47,0,5000,GA
"as between you and others ( including your employer ) , your account belongs to you .",Low,unfair_tos,home,282434,64,0,500,CA
The insurer will normally reimburse medical expenses that fall within the coverage limits. subject to policy limitations.,Low,original_synthetic,auto,58629,74,1,500,FL
"as set out in section 10.1 , in the event a court or arbitrator determines that the limitation of the arbitration to dispute ( s ) between you and linden lab ( prohibiting class or representative proceedings ) is unenforceable , the dispute then must be brought exclusively in the state or federal courts of san francisco county , california .",Medium,unfair_tos,home,389052,45,0,500,PA
"you can respectfully disagree with a message , post or topic , but please do not attack other athletes by mocking or insulting them .",Low,unfair_tos,commercial,934082,51,1,500,GA
"The insurer may generally compensate valid claims unless exclusions apply under the contract. if conditions are satisfied, at the insurer's reasonable discretion.",Medium,hedged_synthetic,auto,91830,74,1,1000,GA
"you agree to submit to the exclusive personal jurisdiction of the courts located within zurich , switzerland ( and , for the avoidance of doubt , to exclude the jurisdiction of any other court ) for the purpose of litigating all such claims or disputes .",Medium,unfair_tos,home,304509,66,0,500,PA
The insurer may compensate the insured depending on internal review and surrounding circumstances. subject to policy limitations.,High,original_synthetic,auto,150000,62,1,500,IL
Claims may be approved or declined based on the insurer's interpretation of the situation. in accordance with policy terms.,High,original_synthetic,home,421837,32,2,2500,TX
Claims may be settled according to the insurer's evaluation of the case.,High,original_synthetic,home,660734,20,0,500,OH
Benefits may be granted depending on circumstances and company judgment.,High,original_synthetic,auto,77135,71,1,5000,OH
"The insurer may compensate the insured subject to verification of eligibility criteria. after internal evaluation, subject to applicable policy limitations and review.",Medium,hedged_synthetic,commercial,1814395,54,1,1000,FL
The insurer may determine eligibility for reimbursement after reviewing the circumstances. subject to review.,High,original_synthetic,home,750000,71,1,2500,TX
"world of warcraft may contain certain licensed materials , and blizzard entertainment 's licensors may protect their rights in the event of any violation of this agreement .",Low,unfair_tos,commercial,1203860,62,0,1000,GA
The insurer may compensate the insured depending on internal review and surrounding circumstances. after internal evaluation.,High,original_synthetic,auto,54822,47,3,500,GA
"to the extent permitted under your local law , we exclude any implied warranties , including for merchantability , satisfactory quality , fitness for a particular purpose , workmanlike effort , and non-infringement .",Low,unfair_tos,life,699419,23,1,1000,PA
world of warcraft and television service .,Low,unfair_tos,life,1053545,56,1,1000,FL
the federal arbitration act will govern the interpretation and enforcement of this section .,Low,unfair_tos,home,126583,20,0,5000,PA
The insurer will normally reimburse medical expenses that fall within the coverage limits. subject to review.,Low,original_synthetic,home,251582,44,1,500,FL
you are responsible for deciding if you want to access or use third party apps or sites that link from our services .,Low,unfair_tos,auto,37720,74,1,1000,PA
Coverage may apply in certain situations subject to evaluation by the insurer. if conditions are satisfied.,High,original_synthetic,commercial,3099304,37,2,2500,FL
this agreement shall be governed by and construed in accordance with the laws of the state of delaware without regard to the conflict of laws provisions thereof .,Medium,unfair_tos,commercial,4407524,36,0,1000,PA
"subject to any third party rights in any preexisting content included within your user content , including company content , you retain ownership of any rights you may have in your user content and submitting your user content to the service does not transfer ownership of your rights .",Low,unfair_tos,home,267388,21,0,1000,PA
The insurer may determine eligibility for reimbursement after reviewing the circumstances. depending on circumstances.,High,original_synthetic,auto,133628,64,3,1000,OH
"Claims may be reviewed and paid when they comply with the conditions specified in this policy. subject to policy limitations, subject to the insurer's assessment of the circumstances.",Medium,hedged_synthetic,home,388524,74,0,2500,CA
Benefits may be granted depending on circumstances and company judgment. if conditions are satisfied.,High,original_synthetic,home,750000,34,0,500,TX
"a statement by you that you have a good faith belief that the disputed use is not authorized by the copyright owner , its agent , or the law ;",Low,unfair_tos,home,280605,30,1,500,OH
"we reserve the right to send electronic mail to you , for the purpose of informing you of changes or additions to the service or of any betterpoints.uk related products and services .",Low,unfair_tos,auto,75654,38,0,1000,OH
"some of the characters , logos , or other images incorporated by viber in our services are also protected as registered or unregistered trademarks , trade names , and/or service marks owned by viber or others ( `` trademarks '' ) .",Low,unfair_tos,auto,106939,19,1,2500,OH
commercial use : you may not use the vimeo service for commercial purposes unless :,Low,unfair_tos,life,481663,50,0,1000,GA
Compensation may be granted for eligible claims once documentation is verified under the policy terms.,Low,original_synthetic,auto,59992,48,0,5000,FL
Benefits may be granted depending on circumstances and company judgment.,High,original_synthetic,auto,120572,20,2,500,CA
your use of the software ( as specified below ) is subject to the terms and conditions set forth in this eula .,Low,unfair_tos,home,260456,29,0,5000,GA
we will notify you at least 30 calendar days in advance of any such change .,Low,unfair_tos,auto,49456,47,2,5000,OH
"unlike virtual money and virtual goods ( see below ) , trading items are obtained at no additional charge during gameplay .",Low,unfair_tos,commercial,1607489,52,1,2500,NY
Compensation may be granted for eligible claims once documentation is verified under the policy terms.,Low,original_synthetic,home,278250,47,1,2500,OH
Claims may be settled according to the insurer's evaluation of the case.,High,original_synthetic,home,661816,64,1,1000,TX
The insurer may compensate losses if deemed appropriate after internal consideration. subject to review.,High,original_synthetic,auto,150000,65,1,5000,FL
you must have rights to the content you post .,Low,unfair_tos,home,385156,39,1,5000,OH
The insurer may compensate the insured depending on internal review and surrounding circumstances. subject to review.,High,original_synthetic,commercial,3481079,38,3,500,IL
"you are responsible for all activity that occurs under your account , and you agree to maintain the security and secrecy of your account username and password at all times .",Low,unfair_tos,auto,28621,56,1,5000,NY
if you repeatedly infringe third parties ' ip your access to the service may be restricted or blocked at the company 's sole discretion .,Medium,unfair_tos,auto,150000,51,0,2500,IL
Payment may be provided based on discretionary review of the claim details.,High,original_synthetic,commercial,3663549,27,2,2500,CA
The insurer may determine eligibility for reimbursement after reviewing the circumstances. after internal evaluation.,High,original_synthetic,home,408088,62,0,2500,PA
"except as otherwise provided , all users on your linked user device may use the respective digital product .",Low,unfair_tos,home,600766,36,0,5000,FL
